id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
138,572399757299200001,3044714849,0,0,1,0,0,0,0,0,76,8,0,0,1,0,22.05,36,147,0,0,136,70,12,0,0,0,0,11.33,0.24,4.08,9,1,0.5063
168,572399708208947201,26863892,2,3,42,12922,0,0,0,0,56,6,0,0,1,0,67.16,75426,11,2922,0,28943,0,2167,0,1,0,0,13.36,6856.91,0.00,9,1,0.5063
171,572399765905776641,25979455,11,3,415,174295,0,0,1,0,134,15,3,0,1,1,85.57,580900,145,1423,1018,181422,40,2170,1,0,0,1,83.60,4006.21,0.00,17,1,0.4557
175,572399778744553472,65579025,1,2,56,27,0,0,0,0,71,7,0,0,1,0,69.02,325183,190,1016,81,132717,91,2026,1,0,0,0,65.51,1711.49,0.00,8,1,0.3987
182,572399814366793728,2594856620,0,0,0,0,0,0,0,0,137,16,1,0,2,0,58.49,95542,51407,165,108,30130,112,246,1,0,0,0,122.48,1.86,0.54,9,1,0.5063
186,572399671236149248,15872887,0,0,0,0,0,0,0,0,79,10,0,0,1,0,43.79,308,88,18,0,34956,64,2389,1,0,0,0,14.63,3.50,0.29,19,1,0.4367
191,572399687765909504,23691425,0,0,0,0,0,0,0,0,118,14,0,0,1,0,45.21,1482,6,20,0,42776,64,2183,1,0,0,0,19.60,247.00,0.00,19,1,0.4367
192,572399658443661312,54366633,0,0,1,0,0,0,0,0,100,16,0,0,1,0,60.18,6216,281,76,274,21744,116,2065,1,0,0,0,10.53,22.12,0.05,9,1,0.5063
194,572399657659314176,2801622985,0,0,2,0,0,0,1,0,117,14,1,0,1,1,44.61,3696,2919,12,0,4927,20,173,0,1,1,0,28.48,1.27,0.79,14,1,0.4810
199,572399706397011968,2617664976,0,0,0,0,0,0,0,0,136,23,0,0,1,0,58.48,3107,3135,15,45,39894,29,234,0,1,0,0,170.49,0.99,1.01,15,1,0.5316
200,572399721144320001,2466881028,0,0,0,0,0,0,0,0,53,5,3,0,1,0,43.34,115,0,13,0,29486,159,309,1,0,0,0,95.42,115.00,0.00,15,1,0.5316
207,572399734327001088,556316562,0,0,0,0,0,0,0,0,137,21,0,0,1,0,45.39,4311,818,41,347,52768,52,1049,0,0,0,0,50.30,5.27,0.19,14,1,0.4810
208,572399683772919810,2469773186,0,0,1,0,0,0,0,0,109,15,1,1,1,0,41.06,248,486,10,3,33815,108,307,1,0,0,0,110.15,0.51,1.96,9,1,0.5063
219,572399733366386689,237507695,0,0,1,0,0,0,0,0,113,15,3,0,1,0,52.00,9447,20,393,0,1566046,148,1510,0,0,0,0,1037.12,472.35,0.00,8,1,0.3987
232,572399810092924928,2887380196,0,0,0,0,0,0,0,0,56,6,0,0,1,0,45.33,212,1090,34,0,14388,52,101,0,0,0,0,142.46,0.19,5.14,16,1,0.4494
233,572399806326308864,1664939335,0,0,0,0,0,0,0,0,136,17,1,0,1,0,56.21,1401,560,83,22,623920,129,567,1,0,0,0,1100.39,2.50,0.40,8,1,0.3987
244,572399817000816640,134951053,0,0,1,0,0,0,0,0,139,17,0,0,1,0,44.91,2350,318,34,24,36285,65,1778,1,0,0,0,20.41,7.39,0.14,8,1,0.3987
249,572399729167900674,2906893556,1,0,0,563,0,0,0,0,101,14,0,0,1,0,47.95,492,1144,9,10258,19535,0,100,0,1,0,0,195.35,0.43,2.33,8,1,0.3987
264,572399767948558337,104683173,4,3,5,837,0,0,0,0,90,12,0,0,1,0,78.14,829571,2318,6486,410,237448,32,1874,1,0,0,1,126.71,357.88,0.00,8,1,0.3987
274,572399759073284097,7125512,11,2,8,4006,0,0,0,0,120,15,0,1,1,0,70.01,27024,3697,766,6171,120386,156,2805,1,0,0,0,42.92,7.31,0.14,16,1,0.4494
286,572399679205339136,2891887866,0,0,0,0,0,0,0,0,136,18,0,0,1,0,50.99,465,206,43,2,76434,152,116,1,1,0,0,658.91,2.26,0.44,14,1,0.4810
290,572399826807197696,52024106,0,0,0,0,0,0,0,0,79,10,0,0,1,0,52.17,3596,3972,253,53166,263659,73,2072,1,0,0,0,127.25,0.91,1.10,14,1,0.4810
291,572399822528913408,1523575524,0,0,0,0,0,0,0,0,99,14,0,0,1,0,13.21,8,59,0,36,41193,75,624,1,0,0,0,66.01,0.14,7.38,8,1,0.3987
293,572399826735800320,1523575524,0,0,0,0,0,0,0,0,84,12,0,0,1,0,13.21,8,59,0,36,41194,75,624,1,0,0,0,66.02,0.14,7.38,8,1,0.3987
294,572399829453705216,42317726,0,0,0,0,0,0,0,0,102,13,1,0,1,0,43.55,3222,691,66,0,143836,95,2108,1,0,0,0,68.23,4.66,0.21,11,1,0.5000
296,572399662402936833,469204140,0,0,0,0,0,0,0,0,136,20,0,0,1,0,49.00,2190,1362,15,132,42906,130,1137,1,0,0,0,37.74,1.61,0.62,15,1,0.5316
303,572399825469214720,52024106,0,0,0,0,0,0,0,0,97,14,0,0,1,0,52.17,3596,3972,253,53166,263658,73,2072,1,0,0,0,127.25,0.91,1.10,14,1,0.4810
306,572399822453534720,896483304,0,0,0,0,0,0,0,0,90,8,1,0,1,0,47.19,403,55,29,5,66476,154,862,0,1,0,0,77.12,7.33,0.14,8,1,0.3987
