id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
1686,572399917987020801,253260372,0,0,2,0,0,0,0,0,136,18,0,0,1,0,49.20,2912,454,22,393,10440,138,1475,0,0,0,0,7.08,6.41,0.16,16,1,0.4494
1690,572399917886398464,251886947,0,0,1,0,0,0,0,0,60,8,0,0,1,0,48.06,1311,0,66,0,25060,77,1478,1,1,0,0,16.96,1311.00,0.00,9,1,0.5063
1691,572399918783963136,253260372,0,0,4,0,0,0,0,0,136,16,0,0,1,0,49.20,2912,454,22,393,10441,138,1475,0,0,0,0,7.08,6.41,0.16,16,1,0.4494
1707,572399939029897216,1474631262,0,0,1,0,0,0,0,0,132,17,1,0,1,0,42.93,1383,1266,16,0,15748,106,639,1,0,0,0,24.64,1.09,0.92,9,1,0.5063
1710,572399952460054528,428028042,0,1,0,0,0,0,0,0,96,12,5,0,1,0,38.95,888,4,60,0,93873,56,1184,1,0,0,0,79.28,222.00,0.00,6,1,0.3354
1712,572399959464517634,3761241,0,0,3,0,0,0,0,0,88,12,2,0,1,0,60.13,23385,20270,309,28,193880,137,2886,1,0,0,0,67.18,1.15,0.87,8,1,0.3987
1713,572399960127246336,3761241,0,0,2,0,0,0,0,0,136,18,2,0,1,0,60.13,23385,20270,309,28,193881,137,2886,1,0,0,0,67.18,1.15,0.87,8,1,0.3987
1717,572399974236991488,49637376,0,0,1,0,0,0,0,0,140,16,0,1,1,0,54.62,4548,4627,133,1734,26864,147,2079,1,0,0,0,12.92,0.98,1.02,15,1,0.5316
1725,572400005568339968,260537964,0,0,3,0,0,0,0,0,95,11,0,0,1,0,61.28,46610,8,842,6,49291,102,1460,1,0,0,0,33.76,5826.25,0.00,9,1,0.5063
1729,572400015236210688,344688848,0,0,2,0,0,0,0,0,137,20,0,0,1,0,45.70,2283,0,64,0,149234,160,1312,1,0,0,0,113.75,2283.00,0.00,15,1,0.5316
1737,572399977072222209,478799193,0,1,0,0,0,0,0,0,136,18,2,0,1,0,52.23,1048,158,43,59,71806,37,1127,1,0,0,0,63.71,6.63,0.15,7,1,0.3354
1742,572400060702588929,229494070,0,0,1,0,0,0,0,0,73,9,0,0,1,0,32.87,1176,646,0,35,18254,98,1531,1,0,0,0,11.92,1.82,0.55,6,1,0.3354
1746,572400002699431936,3761241,0,1,0,0,0,0,0,0,136,18,2,0,1,0,60.13,23385,20270,309,28,193882,137,2886,1,0,0,0,67.18,1.15,0.87,8,1,0.3987
1748,572400009913606144,64672185,0,1,0,0,0,0,0,0,136,18,1,0,1,0,46.06,2351,1,53,0,173785,42,2029,1,0,0,0,85.65,2351.00,0.00,19,1,0.4367
1749,572400099743027200,31256094,0,0,22,0,0,0,0,0,75,10,0,0,1,0,54.02,2985,475,37,168,22381,62,2148,1,0,0,0,10.42,6.28,0.16,9,1,0.5063
1758,572400115807207425,344175944,0,0,2,0,0,0,0,0,94,12,0,0,1,0,42.38,5611,5821,56,0,82129,145,1313,1,0,0,0,62.55,0.96,1.04,8,1,0.3987
1760,572400037935726592,14761622,0,1,0,0,0,0,0,0,143,19,1,0,1,0,47.37,693,1207,29,21,130150,150,2484,1,0,0,0,52.40,0.57,1.74,14,1,0.4810
1761,572400023083737088,540738723,0,1,0,0,0,0,0,0,80,8,0,0,1,0,42.25,2766,2389,244,0,112519,89,1067,0,0,0,0,105.45,1.16,0.86,16,1,0.4494
1765,572400144508829696,14122608,0,0,1,0,0,0,0,0,119,17,0,0,1,0,57.22,7590,54,243,0,43652,132,2547,1,0,0,0,17.14,140.56,0.01,9,1,0.5063
1766,572400129162006529,2577619813,0,0,2,0,0,0,0,0,111,13,1,0,1,0,33.90,277,1976,0,23,6955,95,256,1,0,0,0,27.17,0.14,7.13,9,1,0.5063
1769,572400149919621121,40933920,0,0,1,0,0,0,0,0,90,12,0,0,1,0,68.22,244337,1526,1486,101,132134,46,2114,1,0,0,0,62.50,160.12,0.01,9,1,0.5063
1770,572400162557075456,58554518,0,0,1,0,0,0,0,0,88,11,1,0,1,0,62.31,8419,5576,146,266,133278,151,2051,1,0,0,0,64.98,1.51,0.66,9,1,0.5063
1776,572399959892365312,88480403,0,0,1,0,0,0,0,0,136,17,0,0,1,0,41.73,3080,3,158,0,56302,59,1940,1,1,0,0,29.02,1026.67,0.00,6,1,0.3354
1783,572400138183831552,519882147,0,1,0,0,0,0,0,0,136,18,0,0,1,0,46.00,868,1386,3,77,10888,50,1088,0,1,0,0,10.01,0.63,1.60,7,1,0.3354
1786,572400184644247552,3044714849,0,0,2,0,0,0,0,0,73,10,0,0,1,0,22.05,36,147,0,0,138,70,12,0,0,0,0,11.50,0.24,4.08,9,1,0.5063
